sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853179006216;8.323848;;;;;;;
1584853179206225;8.877989;;;;;;;
1584853179406200;9.425827;;;;;;;
1584853179606236;9.968325;;;;;;;
1584853179806233;10.50286;;;;;;;
1584853180006235;11.04035;;;;;;;
1584853180206192;11.57656;;;;;;;
1584853180406274;12.10509;;;;;;;
1584853180606211;12.62211;;;;;;;
1584853180806289;13.08611;;;;;;;
1584853181006275;13.50114;;;;;;;
1584853181206212;13.88428;;;;;;;
1584853181406209;14.25246;;;;;;;
1584853181606195;14.64804;;;;;;;
1584853181806217;15.02709;;;;;;;
1584853182006279;15.38473;;;;;;;
1584853182206201;15.66888;;;;;;;
1584853182406230;15.85054;;;;;;;
1584853182606235;16.0026;;;;;;;
1584853182806296;16.10646;;;;;;;
1584853183006344;16.1751;;;;;;;
1584853183206304;16.23308;;;;;;;
1584853183406245;16.31151;;;;;;;
1584853183606238;16.4113;;;;;;;
1584853183806200;16.53454;;;;;;;
1584853184006299;16.71147;;;;;;;
1584853184206193;16.94709;;;;;;;
1584853184406324;17.30368;;;;;;;
1584853184606242;17.79034;;;;;;;
1584853184806354;18.41618;;;;;;;
1584853185006398;19.01854;;;;;;;
1584853185206218;19.79586;;;;;;;
1584853185406315;20.40376;;;;;;;
1584853185606338;21.02311;;;;;;;
1584853185806370;21.72426;;;;;;;
1584853186006341;22.40881;;;;;;;
1584853186206239;23.125;;;;;;;
1584853186406268;23.82927;;;;;;;
1584853186606270;24.40535;;;;;;;
1584853186806339;24.90785;;;;;;;
1584853187006322;25.40548;;;;;;;
1584853187206231;25.89652;;;;;;;
1584853187406327;26.386;;;;;;;
1584853187606288;26.8474;;;;;;;
1584853187806343;27.30594;;;;;;;
1584853188006405;27.74956;;;;;;;
1584853188206308;28.29346;;;;;;;
1584853188406298;28.90806;;;;;;;
1584853188606346;29.50844;;;;;;;
