sample_ts;lat;lon;northHeading;groundSpeed;SteeringWhlAngle;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;IMURollRate;IMUYawRate
1584853156214100;;;;;;-0.7735;-0.1275;10.0725;;
1584853156224261;;;;;;-0.7905;-0.1105;10.0895;;
1584853156234401;;;;;;-0.85;-0.0935;10.1235;;
1584853156244399;;;;;;-0.8755;-0.1275;10.0555;;
1584853156254402;;;;;;-0.8755;-0.1105;10.0725;;
1584853156264383;;;;;;-0.918;-0.1275;10.0385;;
1584853156274090;;;;;;-0.9435;-0.1615;10.0895;;
1584853156284093;;;;;;-0.9605;-0.1955;10.1915;;
1584853156294523;;;;;;-0.9605;-0.1615;10.2255;;
1584853156304386;;;;;;-0.9435;-0.0935;10.268;;
1584853156314377;;;;;;-0.8755;-0.1275;10.2255;;
1584853156324140;;;;;;-0.8755;-0.1615;10.1405;;
1584853156334424;;;;;;-0.85;-0.153;10.1405;;
1584853156344242;;;;;;-0.85;-0.153;10.1745;;
1584853156354121;;;;;;-0.8755;-0.0935;10.1575;;
1584853156364040;;;;;;-0.918;-0.0595;10.1745;;
1584853156374245;;;;;;-0.8585;-0.0765;10.1235;;
1584853156384415;;;;;;-0.7905;-0.0935;10.0555;;
1584853156394624;;;;;;-0.7735;-0.0765;10.1405;;
1584853156404172;;;;;;-0.8075;-0.0765;10.1575;;
1584853156414162;;;;;;-0.8075;-0.0935;10.115;;
1584853156423991;;;;;;-0.7905;-0.0595;10.115;;
1584853156434227;;;;;;-0.8585;-0.0425;10.115;;
1584853156444472;;;;;;-0.8755;0.0;10.0725;;
1584853156454402;;;;;;-0.85;0.0;9.9705;;
1584853156464401;;;;;;-0.8585;0.0085;9.9365;;
1584853156474366;;;;;;-0.8585;0.0;9.9025;;
1584853156484167;;;;;;-0.833;-0.0595;9.8175;;
1584853156494321;;;;;;-0.7905;-0.0935;9.7155;;
1584853156504005;;;;;;-0.7055;-0.0425;9.809;;
1584853156514299;;;;;;-0.7395;0.0085;9.8685;;
1584853156524286;;;;;;-0.8075;0.0085;9.8175;;
1584853156534423;;;;;;-0.8075;0.0;9.6985;;
1584853156544408;;;;;;-0.8755;0.0;9.6305;;
1584853156554430;;;;;;-0.9435;0.0595;9.6305;;
1584853156564398;;;;;;-1.003;0.0085;9.571;;
1584853156574077;;;;;;-1.0285;0.0085;9.5625;;
1584853156584095;;;;;;-0.9605;0.0425;9.6135;;
1584853156594586;;;;;;-0.833;0.0;9.6305;;
1584853156604376;;;;;;-0.7905;0.0;9.639;;
1584853156614617;;;;;;-0.7225;0.0595;9.724;;
1584853156624132;;;;;;-0.7395;0.0085;9.724;;
1584853156634437;;;;;;-0.7395;0.0085;9.7155;;
1584853156644240;;;;;;-0.7225;0.0255;9.7665;;
1584853156654086;;;;;;-0.7225;0.0255;9.9025;;
1584853156664195;;;;;;-0.6205;0.0425;9.9875;;
1584853156674479;;;;;;-0.6205;0.0765;9.962;;
1584853156684426;;;;;;-0.612;0.0765;9.8685;;
1584853156694633;;;;;;-0.5015;0.0765;9.8175;;
1584853156704147;;;;;;-0.5525;0.0595;9.7835;;
1584853156714317;;;;;;-0.6375;0.0425;9.8515;;
1584853156723975;;;;;;-0.5865;0.0935;9.9365;;
1584853156734194;;;;;;-0.5865;0.153;9.9195;;
1584853156744453;;;;;;-0.5525;0.1785;9.9195;;
